date,A,B,C,D,E,F,G
20240131,209.04984373510052,247.05485709975454,481.5794453759533,916.1500817123311,1403.5661850632039,2248.1164822368364,6127.352496120948
20240215,203.37198721194503,240.00423553293948,465.050044981732,885.1214877130345,1347.7648707058606,2180.614395144544,5996.810572035655
20240315,208.11320409923104,246.93972152876785,479.1951110065249,910.6936230702178,1397.0278555590905,2239.8225403561096,6106.594599194744
20240415,203.2000510690244,241.36725225135726,464.92720974967324,881.923519793908,1368.45026898114,2216.637002394754,6090.627088326069
20240515,202.36795015951864,240.34786814080158,461.7308860871455,880.5003055934703,1373.756111027308,2223.468561794416,6105.0009928025975
20240614,202.59258685902688,240.07774906274565,463.92822804042856,886.4677718085348,1385.0920578075488,2236.0186492299754,6129.576967317184
20240715,174.49955287176505,212.6577446101559,414.38515372044566,781.2227888648243,1169.7817072039568,1894.0305043413287,5283.832366887556
20240814,187.3674679754466,223.8993551345587,427.25860720444945,785.973307205043,1175.6630495362501,1904.0827474462328,5320.134719595454
20240916,234.0188867354472,264.4992847865998,486.43372978659886,900.3592196943084,1393.4125047515986,2254.6070920342445,6217.154599796369
20241015,233.36072231961774,263.94348180171465,486.05198728805067,889.6068204229853,1379.1167319980536,2238.9589439513184,6184.71647837875
20241115,222.67363480660902,259.38795304712784,474.3637454343798,852.8329470512749,1298.088181280929,2092.194190009348,5834.8908444346725
20241213,240.7804531108691,267.93366484795024,494.65341128455634,902.1744558239774,1388.8477940662906,2266.4446103296264,6290.751974591358
20241023,233.3277262272555,263.79517309378423,486.61068420191725,889.6004997117383,1379.1254373267964,2240.3721347709156,6181.2822347520905
20241030,208.42501697377995,238.68568890351375,437.30770473988247,777.2424450324457,1138.2474816682038,1860.64740508602,5212.383019256961
20240210,122.66995207744536,151.4825829711133,280.57642634372166,538.3890296015577,780.4214069112136,1220.7187900004067,3573.05672850195
20240414,89.4465986060562,118.92831144906353,203.78409560788634,390.7519446074421,568.0069185395255,927.1713682160478,2945.0897020790344
20240608,117.29006737021459,147.1776099304537,264.1725453017736,505.9406177424462,742.85047328964,1202.0583068460999,3604.4152664294206
20240811,93.2812674461561,124.43014128318332,208.99173067044694,416.15653931393877,607.1099632453504,994.3471017442098,3136.143875795374
20241012,135.51183961099935,168.2828609860885,294.4426276446669,534.1747736715231,750.4143475595052,1202.0355199029227,3604.6889182782584
20241208,99.73331376740113,131.96382232458507,233.52966181050118,421.47144930092264,593.0830922519638,958.4165293609609,3048.3255085219516
