date,A,B,C,D,E,F,G
20240131,1660692,826456,845339,957549,869344,868689,1206899
20240215,1638662,813598,840898,945131,854959,858886,1230204
20240315,1649665,830441,844407,968728,856655,865581,1208098
20240415,1656573,779963,831915,968909,851645,899008,1218198
20240515,1656573,775044,838968,965112,850946,901145,1219931
20240614,1650596,765098,842568,976494,858865,896382,1222708
20240715,1512273,773865,807041,922637,836667,830086,1252961
20240814,1563945,830890,833733,888617,804967,800901,1238707
20240916,1791491,885710,851854,898267,829201,846332,1193940
20241015,1791491,884269,846397,902463,825314,843186,1198079
20241115,1737805,915131,831677,886338,806622,806447,1198780
20241213,1829947,876495,844911,890681,830000,833821,1215665
20241023,1791491,884269,846397,904404,822452,842631,1197680
20241030,1689428,891303,807579,858117,764874,779262,1199694
20240210,1248985,766778,669783,793616,716274,784959,1210344
20240414,1013546,766867,601010,634928,609127,687809,1290289
20240608,1215384,778378,608309,787585,717341,804000,1254408
20240811,1032616,827580,558013,712691,628351,721720,1235219
20241012,1313093,920594,681033,755286,692774,743368,1165515
20241208,1128311,820180,632586,719026,609749,684583,1204916
