,stop_id,stop_name,stop_lat,stop_lon,count
0,at:47:1222,St. Anton am Arlberg Bahnhof,47.12738873,10.2667825,71
1,at:47:61099,St. Anton a. A. Kohlereck,47.1223462,10.25376591,71
2,at:47:62209,St. Anton a. A. Stadle B197,47.12226674,10.24858263,36
3,at:47:62504,St. Anton a. A. Brandli,47.12490114,10.26010802,36
4,at:47:64938,St. Anton a. A. Terminal West,47.12652695,10.26333297,36
5,at:47:64939,St.Anton a.A. Schollberg,47.1215149,10.24972349,53
6,at:47:64940,St. Anton a. A. Mooserkreuz,47.12411267,10.24856467,71
7,at:47:64942,St. Christoph a. A.,47.12791435,10.21340461,71
8,at:48:1,Bregenz Kloster Mehrerau,47.50260279,9.72073257,56
9,at:48:10,Bregenz Unter der Riedenburg,47.48761113,9.73292271,413
10,at:48:1000,Dornbirn Fallengraben,47.40591346,9.72989539,268
11,at:48:1003,Gisingen Ringstraße,47.25969864,9.59360299,65
12,at:48:1004,Bartholomäberg Buxwald,47.09681447,9.88662446,3
13,at:48:1005,Gisingen Rüttenenstraße,47.26445382,9.5949864,141
14,at:48:1006,Gisingen Sägerstraße,47.25758306,9.58791666,122
15,at:48:1008,Dornbirn Blumenegg,47.40004005,9.74328927,275
16,at:48:1011,Gisingen Schufla,47.26180194,9.60034934,78
17,at:48:1013,Gisingen Sebastianplatz,47.25893655,9.5976544,209
18,at:48:1014,Göfis Agasella,47.24393644,9.64440272,84
19,at:48:1015,Göfis Badida,47.24240571,9.63632687,87
20,at:48:1016,Göfis Kapetsch,47.24167996,9.62402893,61
21,at:48:1017,Göfis Kustergasse,47.24074685,9.62858339,95
22,at:48:1018,Bartholomäberg Dörfle,47.08691274,9.92422793,38
23,at:48:1019,Göfis Pfitz,47.24583303,9.64925363,71
24,at:48:1020,Göfis Runggels,47.24624161,9.64145625,87
25,at:48:1021,Göfis Tufers,47.24997968,9.64738513,71
26,at:48:1022,Gortipohl Zentrum,47.00910888,10.00062067,163
27,at:48:1023,Gortipohl Mälla,47.00344867,10.00907381,163
28,at:48:1024,Götzis Alte Kirche,47.33128587,9.63850079,114
29,at:48:1026,Götzis Appenzellerstr./Blattur,47.34137948,9.63980335,113
30,at:48:1027,Götzis L190/Moos,47.32802238,9.63260784,102
31,at:48:1028,Bartholomäberg Fritzentobel,47.09616624,9.89405352,3
32,at:48:1029,Götzis Bahnhof,47.3366921,9.63694671,669
33,at:48:103,Gisingen Münkafeld,47.27420059,9.59124941,55
34,at:48:1030,Götzis Berg/Oberer Parkplatz,47.33571195,9.6662767,57
