stop_id,stop_name,rank
at:41:3087,Bad Sauerbrunn Bahnhof,1
at:41:3145,Baumgarten-Schattendorf Bahnhof,0
at:41:3186,Breitenbrunn Bahnhof,0
at:41:3294,Deutschkreutz Bahnhof,0
at:41:3298,Donnerskirchen Bahnhof,0
at:41:3303,Draßburg Bahnhof,0
at:41:3351,Eisenstadt Bahnhof,0
at:41:3443,Frauenkirchen Bahnhof,0
at:41:3490,Eisenstadt Schule,0
at:41:3531,Gols Bahnhof,0
at:41:3831,Jois Bahnhof,0
at:41:4109,Loipersbach-Schattendorf Bhf.,0
at:41:4176,Marz-Rohrbach Bahnhof,0
at:41:4177,Mattersburg Bahnhof,0
at:41:4227,Müllendorf Bahnhof,0
at:41:4309,Mönchhof-Halbturn Bahnhof,0
at:41:4325,Neudörfl Bahnhof,1
at:41:4327,Neufeld an der Leitha Bahnhof,0
at:41:4348,Neusiedl am See Bad Bahnhof,0
at:41:4351,Neusiedl am See Bahnhof,0
at:41:4367,Nickelsdorf Bahnhof,0
at:41:4464,Pamhagen Bahnhof,0
at:41:4469,Parndorf Bahnhof,0
at:41:4473,Parndorf Ort Bahnhof,0
at:41:4592,Purbach am Neusiedler See Bf.,0
at:41:4731,Schützen am Gebirge Haltestelle,0
at:41:4732,Schützen am Gebirge Bahnhof,0
at:41:4821,St. Andrä am Zicksee Bahnhof,0
at:41:5143,Wallern im Bgld Bahnhof,0
at:41:5157,Weiden am See Bahnhof,0
at:41:5233,Wiesen-Sigleß Bahnhof,1
at:41:5248,Winden am See Bahnhof,0
at:41:5286,Wulkaprodersdorf Bahnhof,0
at:41:5288,Wulkaprodersdorf Haltestelle,0
at:41:5312,Zurndorf Bahnhof,0
at:41:5969,Neudorf,0
at:41:5970,Gattendorf Bahnhof,0
at:41:5971,Pama Bahnhof,0
at:41:5972,Kittsee Bahnhof,0
at:41:5980,Mattersburg Nord Bhf.,1
at:41:7075,Jennersdorf Bahnhof,0
at:41:7455,Mogersdorf Bahnhof,0
at:42:2121,Mallnitz-Obervellach Bahnhof,0
at:42:2125,Kolbnitz Bahnhof,1
at:42:2126,Mühldorf-Möllbrücke Bahnhst,1
at:42:2127,Pusarnitz Bahnhof,1
at:42:2128,Spittal-Millstätter See Bahnhof,0
at:42:2130,Rothenthurn Bahnhof,1
at:42:2131,Ferndorf Bahnhst,1
at:42:2132,Markt Paternion Bahnhst,1
at:42:2133,Paternion-Feistritz Bahnhst,0
at:42:2134,Weissenstein-Kellerberg Bahnhst,1
at:42:2136,Puch b.Villach Bahnhst,1
at:42:2137,Gödersdorf Bahnhst,1
at:42:2138,Finkenstein Bahnhst,1
at:42:2139,Faak am See Bahnhof,1
at:42:2143,Rosenbach Bahnhof,1
at:42:2149,Ledenitzen Bahnhst,1
at:42:3625,Friesach Bahnhof,0
at:42:3626,Micheldorf-Hirt Bahnhst,0
at:42:3627,Treibach-Althofen,0
at:42:3628,Kappel am Krappfeld Bahnhst,0
at:42:3629,Passering Bahnhst,0
at:42:3631,Launsdorf-Hochosterwitz Bahnhof,0
at:42:3632,St. Georgen am Längsee Bahnhst,1
at:42:3633,St. Veit an der Glan Bahnhof,0
at:42:3636,Glandorf Bahnhst,1
at:42:3639,Maria Saal Bahnhof,0
at:42:3640,Klagenfurt Annabichl Bahnhst,0
at:42:3641,Klagenfurt Ostbahnhof g2,0
at:42:3642,Klagenfurt Hauptbahnhof,0
at:42:3643,Klagenfurt West Bahnhst,0
at:42:3645,Klagenfurt Lend Bahnhst,0
at:42:3646,Krumpendorf Bahnhof,0
at:42:3647,Pritschitz Bahnhst,1
at:42:3648,Pörtschach Bahnhof g1,0
at:42:3649,Töschling Bahnhst,1
at:42:3650,Velden am Wörthersee Bahnhof,0
at:42:3651,Lind-Rosegg Bahnhst,0
at:42:3652,Föderlach Bahnhof,0
at:42:3653,Villach Seebach Bahnhst,0
at:42:3654,Villach Hauptbahnhof,0
at:42:3655,Villach Landskron Bahnhst,1
at:42:3656,Villach Westbahnhof,0
at:42:3657,Villach Warmbad Bahnhst,0
at:42:3659,Fürnitz Bahnhof,0
at:42:3660,Neuhaus an der Gail Bahnhst,1
at:42:3661,Pöckau Bahnhst,1
at:42:3662,Arnoldstein Bahnhof,0
at:42:3663,Thörl-Maglern Bahnhof,0
at:42:3715,Wolfsberg Bahnhof,0
at:42:3716,Wolfsberg Reding Bahnhst,0
at:42:3717,St. Stefan Bahnhof,0
at:42:3718,St. Andrä Bahnhof,0
at:42:3721,St.Paul im Lavanttal Bahnhof,0
at:42:3800,St. Veit an der Glan Westbahnhof,1
at:42:3802,Liebenfels Bahnhst,1
at:42:3803,Tauchendorf-Haidensee Bahnhst,1
at:42:3804,Glanegg in Ktn Bahnhst,1
at:42:3805,Mautbrücken Bahnhst,1
at:42:3806,St.Martin-Sittich Bahnhst (Bundesstraße),1
at:42:3807,Feldkirchen in Kärnten Bahnhof,1
at:42:3808,Tiffen Bahnhst,1
at:42:3809,Steindorf am Ossiachersee Bahnhst,1
at:42:3810,Ossiach-Bodensdorf Bahnhof,1
at:42:3811,St. Urban am Ossiacher See Bahnhst,1
at:42:3812,Sattendorf Bahnhof,1
at:42:3813,Annenheim Bahnhst,1
at:42:3814,Villach St. Ruprecht Bahnhof,1
at:42:3819,Klagenfurt Ebenthal Bahnhst g1,1
at:42:3820,Grafenstein Bahnhof,1
at:42:3823,Mittlern Bahnhst,1
at:42:3824,St. Michael ob Bleiburg Bahnhst,1
at:42:3825,Bleiburg Bahnhof,1
at:42:3826,Bleiburg Stadt Bahnhst,1
at:42:3831,Kühnsdorf-Klopeinersee Bahnhof,0
at:42:3832,Wiederndorf-Aich Bahnhst,1
at:42:3842,Klagenfurt Süd Bahnhst,1
at:42:3843,Maria Rain Bahnhst,1
at:42:3844,Weizelsdorf Bahnhof,1
at:42:3847,Köttmannsdorf Lambichl Bahnhst,1
at:42:3861,Lendorf Bahnhst,1
at:42:3862,Möllbrücke-Sachsenburg Bahnhof,1
at:42:3863,Sachsenburg Markt Bahnhst,1
at:42:3864,Kleblach-Lind Bahnhof,1
at:42:3865,Steinfeld im Drautal Bahnhof,1
at:42:3866,Greifenburg-Weißensee Bahnhof,0
at:42:3867,Berg im Drautal Bahnhst,1
at:42:3868,Dellach im Drautal Bahnhof,1
at:42:3869,Irschen Bahnhst g1,1
at:42:3870,Oberdrauburg Bahnhof,0
at:42:3901,Nötsch Bahnhof,0
at:42:3902,Emmersdorf im Gailtal Bahnhst,0
at:42:3903,St. Stefan-Vorderberg Bahnhof,0
at:42:3904,Görtschach-Förolach Bahnhof,0
at:42:3905,Pressegger See Bahnhst,0
at:42:3906,Vellach-Khünburg Bahnhst,0
at:42:3907,Hermagor Bahnhof,0
at:42:5281,Micheldorf-Hirt Bahnhst (Hauptstraße),3
at:43:20307,Unterretzbach Bahnhof,0
at:43:3004,Absdorf-Hippersdorf Bahnhof,0
at:43:3005,Altenhof/Kamp Bahnhof,0
at:43:3008,Achau Bahnhof,1
at:43:3046,Angern,0
at:43:3064,Atzenbrugg Bahnhof,1
at:43:3079,Bad Deutsch-Altenburg Bahnhof,0
at:43:3090,Bad Vöslau Bahnhof,0
at:43:3101,Baden Bahnhof,0
at:43:3155,Berndorf/Triesting Fabrik Bahnhof,1
at:43:3160,Berndorf Stadt Bahnhof,1
at:43:3162,Bernhardsthal Bahnhof,0
at:43:3170,Bisamberg Bahnhof,1
at:43:3189,Breiteneich bei Horn Bahnhof,1
at:43:3204,Breitensee NÖ,0
